District Name,District Code
Agra,1
Prayagraj,2
Bahraich,3
Ballia,4
Barabanki,5
Bareilly,6
Ayodhya,8
Farukhabad,9
Ghaziabad,10
Gorakhpur,11
Hardoi,13
Etawah,14
Jaunpur,15
Kanpur,16
Lakhimpur,17
Lalitpur,18
Lucknow,19
Mainpuri,20
Meerut,21
Sambhal,22
Pillibhit,24
Saharanpur,25
Shahjahanpur,26
Sitapur,27
Varanasi,30
Aligarh,31
Ambedkarnagar,33
Azamgarh,34
Badaun,35
Banda,36
Basti,37
Bhadohi (Sant Ravi Nagar),38
Bijnor,39
Bulandshahar,40
Deoria,42
Etah,43
Fatehpur,44
Firozabad,45
Ghazipur,47
Gonda,48
Hamirpur,49
Jalaun (Orai),51
Jhansi,52
Maharajganj,53
Mahoba,54
Mathura,55
Mau(Maunathbhanjan),56
Mirzapur,57
Muzaffarnagar,58
Kushinagar,59
Pratapgarh,61
Raebarelli,62
Rampur,63
Siddharth Nagar,64
Sonbhadra,65
Amethi,66
Unnao,68
Auraiya,73
Baghpat,74
Balrampur,75
Chandauli,76
Chitrakut,77
Gautam Budh Nagar,78
Hathras,79
Amroha,80
Kannuj,81
Kaushambi,82
Sant Kabir Nagar,83
Shravasti,84
Khiri (Lakhimpur),85
Oraya,86
Kanpur Dehat,87
Kasganj,88
Shamli,89
